Abbreviation,GeoJSON Zone Name
Abu Hail,ABU HAIL
Awir 1,AL AWIR FIRST
Awir 2,AL AWIR SECOND
Bada',AL BADA'
Baraha,AL BARAHA
Barsha 1,AL BARSHA FIRST
Barsha 2,AL BARSHA SECOND
Barsha S 5,AL BARSHA SOUTH FIFTH
Barsha S 1,AL BARSHA SOUTH FIRST
Barsha S 4,AL BARSHA SOUTH FOURTH
Barsha S 2,AL BARSHA SOUTH SECOND
Barsha S 3,AL BARSHA SOUTH THIRD
Barsha 3,AL BARSHA THIRD
Buteen,AL BUTEEN
Corniche,AL CORNICHE
Daghaya,AL DAGHAYA
Fagaa,AL FAGAA
Garhoud,AL GARHOUD
Hamriya,AL HAMRIYA
Hamriya Port,AL HAMRIYA PORT
Hathmah,AL HATHMAH
Hebiah 5,AL HEBIAH FIFTH
Hebiah 1,AL HEBIAH FIRST
Hebiah 4,AL HEBIAH FOURTH
Hebiah 2,AL HEBIAH SECOND
Hebiah Sixth,AL HEBIAH SIXTH
Hebiah 3,AL HEBIAH THIRD
Hudaiba,AL HUDAIBA
Jadaf,AL JADAF
Jafiliya,AL JAFILIYA
Karama,AL KARAMA
Khabaisi,AL KHABAISI
Kheeran,AL KHEERAN
Kheeran 1,AL KHEERAN FIRST
Khwaneej 1,AL KHWANEEJ FIRST
Khwaneej 2,AL KHWANEEJ SECOND
Kifaf,AL KIFAF
Layan 1,AL LAYAN 1
Layan 2,AL LAYAN 2
Lesaily,AL LESAILY
Maha,AL MAHA
Mamzar,AL MAMZAR
Manara,AL MANARA
Marmoom,AL MARMOOM
Merkadh,AL MERKADH
Meryal,AL MERYAL
Mizhar 1,AL MIZHAR FIRST
Mizhar 2,AL MIZHAR SECOND
Muraqqabat,AL MURAQQABAT
Murar,AL MURAR
Muteena,AL MUTEENA
Nahda 1,AL NAHDA FIRST
Nahda 2,AL NAHDA SECOND
O'Shoosh,AL O'SHOOSH
Qouz 1,AL QOUZ FIRST
Qouz 4,AL QOUZ FOURTH
Qouz Ind.1,AL QOUZ IND.FIRST
Qouz Ind.4,AL QOUZ IND.FOURTH
Qouz Ind.2,AL QOUZ IND.SECOND
Qouz Ind.3,AL QOUZ IND.THIRD
Qouz 2,AL QOUZ SECOND
Qouz 3,AL QOUZ THIRD
Qusais 1,AL QUSAIS FIRST
Qusais Ind. 5,AL QUSAIS IND. FIFTH
Qusais Ind. 1,AL QUSAIS IND. FIRST
Qusais Ind. 4,AL QUSAIS IND. FOURTH
Qusais Ind. 2,AL QUSAIS IND. SECOND
Qusais Ind. 3,AL QUSAIS IND. THIRD
Qusais 2,AL QUSAIS SECOND
Qusais 3,AL QUSAIS THIRD
Raffa,AL RAFFA
Ras,AL RAS
Rashidiya,AL RASHIDIYA
Rigga,AL RIGGA
Rowaiyah 1,AL ROWAIYAH FIRST
Rowaiyah 2,AL ROWAIYAH SECOND
Rowaiyah 3,AL ROWAIYAH THIRD
Sabkha,AL SABKHA
Safa 1,AL SAFA FIRST
Safa 2,AL SAFA SECOND
Safouh 1,AL SAFOUH FIRST
Safouh 2,AL SAFOUH SECOND
Satwa,AL SATWA
Selal,AL SELAL
Shindagha,AL SHINDAGHA
Souq Kabeer,AL SOUQ AL KABEER
Thanyah 4,AL THANYAH  FOURTH
Thanyah 5,AL THANYAH FIFTH
Thanyah 1,AL THANYAH FIRST
Thanyah 2,AL THANYAH SECOND
Thanyah 3,AL THANYAH THIRD
Ttay,AL TTAY
Twar 1,AL TWAR FIRST
Twar 2,AL TWAR SECOND
Twar 3,AL TWAR THIRD
Wajeha Bahriah,AL WAJEHA AL BAHRIAH
Warqa'A 5,AL WARQA'A FIFTH
Warqa'A 1,AL WARQA'A FIRST
Warqa'A 4,AL WARQA'A FOURTH
Warqa'A 2,AL WARQA'A SECOND
Warqa'A 3,AL WARQA'A THIRD
Wasl,AL WASL
Wohoosh,AL WOHOOSH
Wuheida,AL WUHEIDA
Yalayis 1,AL YALAYIS 1
Yalayis 2,AL YALAYIS 2
Yalayis 3,AL YALAYIS 3
Yalayis 4,AL YALAYIS 4
Yalayis 5,AL YALAYIS 5
Yufrah 1,AL YUFRAH 1
Yufrah 2,AL YUFRAH 2
Yufrah 3,AL YUFRAH 3
Yufrah 4,AL YUFRAH 4
Aleyas,ALEYAS
Aynasir,AYAL NASIR
Bu Kadra,BU KADRA
Burj Khalifa,BURJ KHALIFA
BUSINESS BAY,BUSINESS BAY
Corniche Deira,CORNICHE DEIRA
Dubai Int'L Airport,DUBAI INT'L AIRPORT
DIP,DUBAI INVESTMENT PARK SECOND
Enkhali,ENKHALI
Ghadeer Barashy,GHADEER BARASHY
Grayteesah,GRAYTEESAH
Hadaeq Sheikh Mohammed Bin Rashid,HADAEQ SHEIKH MOHAMMED BIN RASHID
Hatta,HATTA
Hefair,HEFAIR
Hessyan 1,HESSYAN FIRST
Hessyan 2,HESSYAN SECOND
Hor Anz,HOR AL ANZ
Hor Anz East,HOR AL ANZ EAST
Jabali 1,JABAL ALI FIRST
Jabali Industri1,JABAL ALI INDUSTRIAL FIRST
Jabali Industri2,JABAL ALI INDUSTRIAL SECOND
Jabali Industri3,JABAL ALI INDUSTRIAL THIRD
Jabali 2,JABAL ALI SECOND
Jabali 3,JABAL ALI THIRD
Jumeira Bay,JUMEIRA BAY
Jumeira 1,JUMEIRA FIRST
Jumeira Island 2,JUMEIRA ISLAND 2
Jumeira 2,JUMEIRA SECOND
Jumeira 3,JUMEIRA THIRD
Le Hemaira,LE HEMAIRA
Lehbab 1,LEHBAB FIRST
Lehbab 2,LEHBAB SECOND
Madinat Mataar,MADINAT AL MATAAR
Madinat Dubai Melaheyah,MADINAT DUBAI AL MELAHEYAH
Mankhool,MANKHOOL
Margab,MARGAB
Margham,MARGHAM
Marsa Dubai,MARSA DUBAI
Me'Aisem 1,ME'AISEM FIRST
Me'Aisem 2,ME'AISEM SECOND
Mena Jabali,MENA JABAL ALI
Mereiyeel,MEREIYEEL
Mirdif,MIRDIF
Mugatrah,MUGATRAH
Muhaisanah 5,MUHAISANAH FIFTH
Muhaisanah 4,MUHAISANAH FOURTH
Muhaisanah 2,MUHAISANAH SECOND
Muhaisanah 3,MUHAISANAH THIRD
Muhaisnah 1,MUHAISNAH FIRST
Mushraif,MUSHRAIF
Nadd Hamar,NADD AL HAMAR
Nadd Shiba 1,NADD AL SHIBA FIRST
Nadd Shiba 4,NADD AL SHIBA FOURTH
Nadd Shiba 2,NADD AL SHIBA SECOND
Nadd Shiba 3,NADD AL SHIBA THIRD
Nadd Hessa,NADD HESSA
Nadd Shamma,NADD SHAMMA
Naif,NAIF
Nakhlat Deira,NAKHLAT DEIRA
Nakhlat Jabali,NAKHLAT JABAL ALI
Nakhlat Jumeira,NAKHLAT JUMEIRA
Nazwah,NAZWAH
Oud Muteena 1,OUD AL MUTEENA FIRST
Oud Muteena 2,OUD AL MUTEENA SECOND
Oud Muteena 3,OUD AL MUTEENA THIRD
Oud Metha,OUD METHA
Port Saeed,PORT SAEED
Ras Khor,RAS AL KHOR
Ras Khor Ind. 1,RAS AL KHOR IND. FIRST
Ras Khor Ind. 2,RAS AL KHOR IND. SECOND
Ras Khor Ind. 3,RAS AL KHOR IND. THIRD
Remah,REMAH
Riggat Buteen,RIGGAT AL BUTEEN
Saih Dahal,SAIH AL DAHAL
Saih Salam,SAIH AL SALAM
Saih Shua'Alah,SAIH SHUA'ALAH
Saih Shuaib 1,SAIH SHUAIB 1
Saih Shuaib 2,SAIH SHUAIB 2
Saih Shuaib 3,SAIH SHUAIB 3
Saih Shuaib 4,SAIH SHUAIB 4
Trade Center 1,TRADE CENTER FIRST
Trade Center 2,TRADE CENTER SECOND
Umm Daman,UMM AL DAMAN
Umm Mo'Meneen,UMM AL MO'MENEEN
Umm Sheif,UMM AL SHEIF
Umm Eselay,UMM ESELAY
Umm Hurair 1,UMM HURAIR FIRST
Umm Hurair 2,UMM HURAIR SECOND
Umm Nahad 1,UMM NAHAD FIRST
Umm Nahad 4,UMM NAHAD FOURTH
Umm Nahad 2,UMM NAHAD SECOND
Umm Nahad 3,UMM NAHAD THIRD
Umm Ramool,UMM RAMOOL
Umm Suqeim 1,UMM SUQEIM FIRST
Umm Suqeim 2,UMM SUQEIM SECOND
Umm Suqeim 3,UMM SUQEIM THIRD
Wadi Safa 2,WADI AL SAFA 2
Wadi Safa 3,WADI AL SAFA 3
Wadi Safa 4,WADI AL SAFA 4
Wadi Safa 5,WADI AL SAFA 5
Wadi Safa 6,WADI AL SAFA 6
Wadi Safa 7,WADI AL SAFA 7
Wadi Alamardi,WADI ALAMARDI
Wadi Alshabak,WADI ALSHABAK
Warsan 1,WARSAN FIRST
Warsan 4,WARSAN FOURTH
Warsan 2,WARSAN SECOND
Warsan 3,WARSAN THIRD
World Islands,WORLD ISLANDS
Yaraah,YARAAH
Zaa'Beel 1,ZAA'BEEL FIRST
Zaa'Beel 2,ZAA'BEEL SECOND
